Date;SunshineTime;System Production (Wh)
2019-04-11;11,59;31311
2019-04-12;13,14;29519
2019-04-13;13,56;29993
2019-04-14;13,62;30190
2019-04-15;13,27;30363
2019-04-16;7,39;19933
2019-04-17;12,58;30590
2019-04-18;13,94;30722
2019-04-19;14,03;31467
2019-04-20;13,52;31527
2019-04-21;13,92;32244
2019-04-22;14,06;32164
2019-04-23;14,03;32954
2019-04-24;3,68;20600
2019-04-25;7,29;23286
2019-04-26;11,87;30460
2019-04-27;0,01;3876
2019-04-28;1,79;4569
2019-04-29;14,24;34364
2019-04-30;6,66;26228
2019-05-01;1,43;14821
2019-05-02;6,96;31197
2019-05-03;9,88;25964
2019-05-04;7,26;30783
2019-05-05;9,81;34937
2019-05-06;7,5;25008
2019-05-07;11,69;37401
2019-05-08;7,46;19044
2019-05-09;0,09;10031
2019-05-10;3,22;21188
2019-05-11;14,99;37856
2019-05-12;10,11;36226
2019-05-13;11,91;32104
2019-05-14;14,06;33996
2019-05-15;11,23;35941
2019-05-16;15,39;36601
2019-05-17;2,46;11602
2019-05-18;3,03;20805
2019-05-19;10,27;38453
2019-05-20;3,7;15097
2019-05-21;4,8;22219
2019-05-22;0,02;12825
2019-05-23;14,47;39598
2019-05-24;2,15;17250
2019-05-25;7,33;22243
2019-05-26;11,39;35513
2019-05-27;0;12871
2019-05-28;7,24;35230
2019-05-29;14,62;41503
2019-05-30;0;7259
2019-05-31;16,5;41211
2019-06-01;1,2;18538
2019-06-02;3,68;30640
2019-06-03;4,66;20648
2019-06-04;12,11;37565
2019-06-05;10,47;35550
2019-06-06;12,55;34912
2019-06-07;7,83;28026
2019-06-08;2,84;23287
2019-06-09;3,5;26988
2019-06-10;12,44;34768
2019-06-11;0,6;18699
2019-06-12;0;12354
2019-06-13;8,96;33774
2019-06-14;8,85;36161
2019-06-15;4,13;24299
2019-06-16;4,64;19796
2019-06-17;13,51;41789
2019-06-18;5,04;30345
2019-06-19;8,59;36660
2019-06-20;1,63;21731
2019-06-21;6,55;31354
2019-06-22;12,76;39091
2019-06-23;15,51;40415
2019-06-24;12,85;37926
2019-06-25;6,87;32978
2019-06-26;9,43;32219
2019-06-27;13,39;38337
2019-06-28;16,44;40840
2019-06-29;11,74;37296
2019-06-30;13,33;35629
2019-07-01;5,48;30451
2019-07-02;6,77;33980
2019-07-03;9,1;36788
2019-07-04;1,19;15758
2019-07-05;16,16;42426
2019-07-06;1,76;14785
2019-07-07;7,97;29487
2019-07-08;12,77;38215
2019-07-09;9,55;32795
2019-07-10;12,6;37565
2019-07-11;14,57;39846
2019-07-12;15,3;39205
2019-07-13;14,76;38805
2019-07-14;6,69;19582
2019-07-15;2,27;13937
2019-07-16;8,12;35212
2019-07-17;16,04;38009
2019-07-18;14,93;38180
2019-07-19;1,29;26646
2019-07-20;9,83;31216
2019-07-21;2,31;27532
2019-07-22;1,43;18468
2019-07-23;6,63;25153
2019-07-24;13,34;36733
2019-07-25;14,7;35718
2019-07-26;14,26;32477
2019-07-27;13,58;31949
2019-07-28;5,09;22838
